"orden";"grupo";"dataset";"question_id";"documento";"tipo_pregunta";"dificultad";"pregunta";"respuesta_historica";"decision_clinica_final";"completitud_final";"citas_final";"observaciones_previas";"resultado_david";"evidencia_y_respuesta_propuesta";"causa";"requiere_revision_semfyc";"notas"
"11";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_9_adb085fece80";"Guía de Actuación 9";"differential";"medium";"¿Qué orienta la prueba de los tres vasos cuando la sangre aparece solo en el tercer vaso, o cuando los tres vasos salen teñidos por igual?";"Cuando la sangre aparece solo en el tercer vaso, la prueba orienta a **hematuria terminal por procedencia de uretra posterior y próstata**. [Guía: Guía de Actuación 9, Página: 7] Cuando los tres vasos salen teñidos por igual, la prueba orienta a **hematuria total de origen renal**. [Guía: Guía de Actuación 9, Página: 7] **Fuentes consultadas:** - [Guía: Guía de Actuación 9, Página: 7]";"incorrect";"complete";"yes";"Cuando la sangre aparece solo en el tercer vaso, la prueba orienta a hematuria terminal por procedencia vesical, no de próstata o uretra posterior como se indica en la respuesta.";"Cuando la sangre aparece solo en el tercer vaso, orienta a **hematuria terminal**, compatible con **hematuria de uretra posterior y próstata**. Cuando los tres vasos salen teñidos por igual, orienta a **hematuria total**, compatible con **hematuria renal**.";"**Guía de Actuación 9**- Pág. 7";"La respuesta a esta pregunta aparece en formato de imagen, desconozcomo cómo se ha entrenado el modelo para poder reconocerlo.";"no";"Supongo que ha tratado de responder a la pregunta con texto de la misma página donde está la foto que responde a la pregunta."
"12";"incorrect";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_S0212656724002658_c802d6e73275";"S0212656724002658";"workflow";"medium";"Paciente de 67 años, aparentemente sano, fumador, sin enfermedad vascular conocida y con SCORE2 del 6%. ¿Qué objetivos de prevención adicionales y de presión arterial/LDL se plantean?";"En una persona aparentemente sana de 67 años, se estima el riesgo CV a 10 años con SCORE2. Para el grupo de 50–69 años, un SCORE2 de **5 a <10%** lleva a **considerar modificadores de riesgo, el riesgo CV de por vida, el beneficio del tratamiento y las preferencias del paciente**. En ese escenario, los objetivos de prevención adicionales son **PAS <140 a 130 mmHg si se tolera** y **C-LDL <2.6 mmol/L (<100 mg/dL)**. [Guía: Recomendaciones PAPPS, Página: 6] **Fuentes consultadas:** - [Guía: Recomendaciones PAPPS, Página: 6]";"incorrect";"incomplete";"partial";"respuesta imprecisa, ambigua, que se olvida de retirada de tabaco y que no filia el riesgo que en este caso es alto y que segun tabla de guia de actuación el objetivo de LDL es <70";"En una persona aparentemente sana de 67 años, se usa SCORE2 para el grupo de 50–69 años; si el riesgo es de 5 a <10%, se debe considerar el modificador de riesgo, el riesgo cardiovascular de por vida, el beneficio del tratamiento y las preferencias del paciente. Si el SCORE2 es de 6%, eso encaja en ese rango y se plantean objetivos de PAS <140 a 130 mmHg si se tolera y C-LDL <2,6 mmol/L (<100 mg/dL).";"**S0212656724002658**- Pág. 6";"La respuesta a la pregunta aparece en un esquema y por ello puede haber dificultad a la hora de generar la rspuesta pues se ha dejado el cuadro verde arriba del todo sin comentar donde se menciona el dejar de fumar.";"si, no por errores pero yo recomendaría sobre todo si se pretene que el contendio de las guías los pueda leer un aguía que la información que aparece en imágenes también pueda estar descita enteramente en texto incluso pude ir avisado en un título que es la misma iinfomación que ne la imagen solo que así se le puede facilitar y agilizar el trabajo a la IA.";"No creo que sea buena idea tener información unicamnete de forma gráfica."
"13";"incorrect";"semfyc_eval_externo_2026_01";"semfyc_eval_externo_2026_01_external_35b624f631b6";"Dataset externo ChatTFG";"external";"medium";"En un varón de 55 años anticoagulado con acenocumarol por una fibrilación auricular y que presenta una lumbalgia inespecífica ¿está indicado pautar AINEs?";"En el contexto aportado, los AINEs figuran como tratamiento de elección de la lumbalgia simple, pero en pacientes anticoagulados con antagonistas de la vitamina K se indica que, si se prescribe un AINE, debe recomendarse la dosis mínima eficaz. Además, los AINEs aparecen con “especial precaución por posible erosión gástrica e inhibición de la agregación plaquetaria”. [Guía: Guía Terapéutica, Página: 372] [Guía: Guía de Actuación 23, Página: 50] También se recoge que entre los fármacos sin interacción relevante con AVK están ibuprofeno y naproxeno, pero con la advertencia de que esta lista no implica que deban ser considerados de elección y que algunos fármacos no incluidos pueden ser de elección si se realizan controles adecuados del INR. [Guía: Guía de Actuación 23, Página: 50] **Fuentes consultadas:** - [Guía: Guía Terapéutica, Página: 372] - [Guía: Guía de Actuación 23, Página: 50]";"incorrect";"incomplete";"yes";"Ibuprofeno y otros AINEs interaccionan con acenocumarol potenciando su efecto, la fuente referenciada así lo indica.";"No. En la lumbalgia simple, los AINEs son tratamiento de elección, pero en pacientes con factores de riesgo para sangrado gastrointestinal por AINE —incluido el uso de anticoagulantes— se indica sustituir el AINE por paracetamol o tramadol y añadir un inhibidor de la bomba de protones o misoprostol. Además, en la Guía Terapéutica se señala que la toma conjunta de AINE con antagonistas de la vitamina K aumenta el riesgo de hemorragia digestiva. [1] [2]";"**Guía Terapéutica**- Pág. 422 · PDF 470 y **Guía de Actuación 14**- Pág. 127";"La respuesta ahora es correcta, la repetí varias veces por si acaso y todas las veces me respondió bien.";"no";"Le repetí la pregunta varias veces desde cero par asegurarme de que lo sabía responder bien y en un arespuesta de primeras me respondió mal pero par aluego puntulizarlo de forma correcta: Sí, en la lumbalgia simple/inespecífica los AINEs (ibuprofeno o naproxeno) figuran como tratamiento de elección. [1]

Sin embargo, en pacientes con anticoagulantes orales, la toma conjunta con un antagonista de la vitamina K se asocia a mayor riesgo de hemorragia digestiva, por lo que requiere precaución. [2]

Además, el propio documento señala como criterio de STOP la asociación de ácido acetilsalicílico con antagonista de la vitamina K, y en las tablas de anticoagulación se destaca que el riesgo de sangrado es un factor que debe individualizarse y reevaluarse periódicamente. [3] [4]

Para estas respuesta me dio otras fuentes diferentes: **Guía Terapéutica**- Pág. 758 · PDF 806, **Guía de Actuación 3**- Pág. 94, **Guía Terapéutica — Fármacos**- Pág. 5 y **Guía Terapéutica**- Pág. 324 · PDF 372."
"14";"incorrect";"semfyc_eval_externo_2026_01";"semfyc_eval_externo_2026_01_external_5871d8961da9";"Dataset externo ChatTFG";"external";"medium";"¿Existe alguna asociación entre el autismo y la toma de paracetamol durante la gestación?";"Esta información no se encuentra en las Guías de Actuación disponibles. Te recomiendo consultar directamente con un profesional sanitario.";"incorrect";"incomplete";"yes";"En la pagina 638 de la guia terapeutica donde habla de efectos adversos del paracetamol no consta este del autismo. La Guia cataloga el paracaetamol como riesgo para embarazo B ( icono de final de la página)";"Esta información no se encuentra en las Guías de Actuación disponibles. Te recomiendo consultar directamente con un profesional sanitario.";"No tengo referencias.";"no se debe decir ese caso concreto en ninguna parte.";"no";"me parece una respuesta decuada ante una pregunta sobre algo qeu no figura ne las guías."
"15";"incorrect";"semfyc_eval_externo_2026_01";"semfyc_eval_externo_2026_01_external_8ae2d7f23e47";"Dataset externo ChatTFG";"external";"medium";"Ante un paciente que presenta desde hace algunas semanas estado de ansiedad con dificultad para conciliar el sueño y nerviosismo, ¿es correcto iniciar un tratamiento con benzodiazepinas?";"Sí, en el contexto de ansiedad generalizada el tratamiento de elección que figura es asociar paroxetina con diazepam, y en episodios esporádicos puede usarse diazepam como tratamiento alternativo. La terapia cognitivoconductual también se considera de primera elección. El tratamiento farmacológico solo está indicado en sintomatología moderada o grave, iniciando antidepresivos a dosis bajas y usando benzodiazepinas durante el menor tiempo posible; en general, la duración recomendada para benzodiazepinas es de 4 a 6 semanas. [Guía: Guía Terapéutica, Página: 108] En insomnio, se recomienda como tratamiento de elección las medidas de higiene del sueño; si el insomnio es refractario a otras medidas o de mantenimiento, se indica lormetazepam. En general, para insomnio se recomienda usar una benzodiazepina de vida media corta o intermedia a la dosis mínima eficaz y pactar siempre la reducción y supresión del fármaco en 2-4 semanas. [Guía: Guía Terapéutica, Página: 113] En ancianos, las benzodiazepinas se consideran medicamentos inapropiados por su mal coeficiente beneficios/riesgos y capacidad de producir dependencia, por lo que, siempre que sea posible, deben evitarse. [Guía: Guía de Actuación 6, Página: 29] **Fuentes consultadas:** - [Guía: Guía Terapéutica, Página: 108] - [Guía: Guía Terapéutica, Página: 113] - [Guía: Guía de Actuación 6, Página: 29]";"incorrect";"incomplete";"partial";"Desorden de citas y páginas incorrectas. | La respuesta es incorrecta, puesto que el tratamiento de elección para el insomnio son las medidas higiénico-dietéticas del sueño y terapias no farmacológicas y, en caso de insomnio refractario a las mismas, se puede iniciar BZD.";"Sí, en el contexto de ansiedad generalizada el tratamiento farmacológico de elección puede incluir **paroxetina asociada a diazepam**; además, en episodios esporádicos se contempla **diazepam** como tratamiento alternativo. El tratamiento farmacológico solo está indicado en sintomatología moderada o grave, y las benzodiazepinas deben usarse durante el menor tiempo posible, con duración recomendada de **4 a 6 semanas**. [1]

En el insomnio, el tratamiento debe dirigirse a la causa desencadenante y, en general, se recomienda usar una **benzodiazepina de vida media corta o intermedia** en la dosis mínima eficaz, pactando siempre la reducción y supresión del fármaco en **2-4 semanas**. [2]

Además, las benzodiazepinas se recomiendan **solo cuando sea imprescindible**, con la mínima dosis eficaz y durante **no más de 4 semanas**, revisando periódicamente la necesidad de mantenerlas. [3]";"**Guía Terapéutica**- Pág. 65 · PDF 113, **Guía Terapéutica**- Pág. 60 · PDF 108 y **Guía de Actuación 6**- Pág. 27.";"Creo que la pregunta está bien respondida.";"no";""
"16";"incorrect";"semfyc_eval_externo_2026_01";"semfyc_eval_externo_2026_01_external_aed39b3da579";"Dataset externo ChatTFG";"external";"medium";"En una mujer de 45 años migrañosa en tratamiento y con HTA bien controlada que presenta disartria y afectación del nervio facial ¿es necesaria la realización de una TC como estrategia diagnóstica para descartar un ictus?";"Esta información no se encuentra en las Guías de Actuación disponibles. Te recomiendo consultar directamente con un profesional sanitario.";"incorrect";"incomplete";"yes";"En las fuentes propuestas cita varias en las que aparece el algortimo de actuación en cefaleas, pero no lo interpreta de manera correcta";"Esta información no se encuentra en las Guías de Actuación disponibles. Te recomiendo consultar directamente con un profesional sanitario.";"";"No se si será por ser una pregunta muy concreta pero no es capaz de encontrar una respuesta para ella.";"no";""
"17";"incorrect";"semfyc_eval_externo_2026_01";"semfyc_eval_externo_2026_01_external_32a1c4dea886";"Dataset externo ChatTFG";"external";"medium";"En pacientes con úlcera gástrica, ¿cuál es el AINE más seguro?";"Esta información no se encuentra en las Guías de Actuación disponibles. Te recomiendo consultar directamente con un profesional sanitario.";"incorrect";"incomplete";"no";"La pregunta es muy específica y efectivamente en las fuentes no existe respuesta exacta. La pregunta podría referirse a que AINEs emplear si riesgo de gastropatía | La guía recomienda no utilizarlos y es un criterio Stopp. Página 571 de la guía en papel";"En el contexto proporcionado, los AINE con contraindicaciones o precauciones relacionadas con úlcera péptica incluyen ibuprofeno, diclofenaco y naproxeno, además de señalarse que en antecedentes de enfermedad ulcerosa péptica o hemorragia gastrointestinal deben evitarse salvo asociación con IBP o antagonistas H2. No se especifica cuál sería el AINE “más seguro” en pacientes con úlcera gástrica. [1] [2] [3]";"**Guía Terapéutica — Fármacos**- Pág. 138, **Guía Terapéutica — Fármacos**- Pág. 84 y **Guía Terapéutica — Fármacos**- Pág. 188.";"Antes no debía de tener la información suficiente para generar una respuesta, ahora no es capaz de responderte específicamente a la pregunta pero si qeu te dice algunos datos de cuales NO son seguros en caso de úlceras.";"si, revisar si en algún lado mencionan a algún AINE como el mas seguro en caso de úlcera péptídica.";""
"18";"incorrect";"semfyc_eval_externo_2026_01";"semfyc_eval_externo_2026_01_external_662ae92340e3";"Dataset externo ChatTFG";"external";"medium";"¿Está contraindicado el uso concomitante del lorazepam y el acenocumarol?";"Esta información no se encuentra en las Guías de Actuación disponibles. Te recomiendo consultar directamente con un profesional sanitario.";"incorrect";"partial";"partial";"La información está en el fármaco Acenocumarol, apartado interacciones farmacológicas, donde no se cita lorazroam | La información de las posibles interacciones está en las fichas de cada uno de los dos fármacos. Tanto en la de lorazepam como en la de acenocumarol figura interacciones. En ellas se confirma que no hay interacción entre ellos.";"Esta información no se encuentra en las Guías de Actuación disponibles. Te recomiendo consultar directamente con un profesional sanitario.";"";"";"";"No sé si sale esa infromación en algún lado."
"19";"incorrect";"semfyc_eval_terapeutica_2026_01";"semfyc_eval_terapeutica_2026_01_guia-terapeutica_a57488c3d6aa";"Guía Terapéutica";"case";"medium";"Tengo un paciente con insuficiencia cardíaca con fracción de eyección preservada y fibrilación auricular. ¿Qué tratamiento se recomienda para controlar esta situación?";"Para la **insuficiencia cardíaca crónica con fracción de eyección preservada (≥ 50%)** y **fibrilación auricular**, la guía indica que, si en el caso de **AC x FA** persiste una **FC > 80** a pesar del tratamiento, se recomienda **digoxina 0,125-0,250 mg/día por vía oral**. [Guía: Guía Terapéutica, Página: 199] En el esquema de continuación, para **AC x FA** se recoge **bisoprolol o verapamilo o diltiazem + digoxina 0,125-0,25 mg/día**. [Guía: Guía Terapéutica, Página: 849] Además, en la tabla de fibrilación auricular para el control de la frecuencia cardíaca, en **mantenimiento de FC adecuada con FE > 40%** aparecen como alternativas **diltiazem, verapamilo, bisoprolol o digoxina**. [Guía: Guía Terapéutica, Página: 186] **Fuentes consultadas:** - [Guía: Guía Terapéutica, Página: 199] - [Guía: Guía Terapéutica, Página: 849] - [Guía: Guía Terapéutica, Página: 186]";"incorrect";"incomplete";"yes";"El texto dice: si FC>80, AC xFA: Bisoprolol o verapamilo o diltiazem (c superindice)+ digoxina EFG®: 0,125-0,25 mg/d. Y en pie de tabla muy importante pone: c: No asociar betabloqueantes con calcioantagonistas. | Me sabe muy mal pero al revisarla con el primer revisor tras mi lectura independiente no comparto sus objecciones, creo que entiendo lo que quiere decir la GT";"En la insuficiencia cardíaca crónica con fracción de eyección preservada y fibrilación auricular, si persiste una FC > 80 a pesar del tratamiento, se recomienda añadir **digoxina 0,125–0,250 mg/d vo**. [1]

En el esquema de manejo de la IC con FE preservada, cuando hay **FC ≥ 80 sin FA** se indican **bisoprolol**, **verapamilo** o **diltiazem**; y en el caso anterior, si hay **AC x FA** y persiste la FC > 80, se añade **digoxina**. [1]

En la tabla de control de la frecuencia en fibrilación auricular, con **FE > 40%** se contemplan como alternativas **diltiazem**, **verapamilo**, **bisoprolol** o **digoxina**; y si fracasa la monoterapia para controlar la FC, puede asociarse **digoxina + bisoprolol** o usar **diltiazem**. [2]";"**Guía Terapéutica**- Pág. 138 · PDF 186 y **Guía Terapéutica**- Pág. 151 · PDF 199.";"";"no";"me parece que está bien respondida."
"20";"incorrect";"semfyc_eval_terapeutica_2026_01";"semfyc_eval_terapeutica_2026_01_guia-terapeutica_04ea9b3b83fe";"Guía Terapéutica";"referral";"high";"En una sospecha de síndrome coronario agudo con bradicardia sintomática menor de 50 lpm y dolor persistente, ¿qué medicación se recomienda para la bradicardia y en qué situación se indica derivación a atención especializada?";"En una sospecha de síndrome coronario agudo con **bradicardia sintomática (< 50 lpm)**, la medicación recomendada es **atropina 0,5-1 mg**, repitiendo si persisten los síntomas **cada 3-5 minutos** hasta un **máximo de 3 mg en bolo lento intravenoso**. [Guía: Guía Terapéutica, Página: 180] La **derivación a atención especializada** es necesaria en las **bradicardias sintomáticas con compromiso hemodinámico**; además, en las bradicardias sintomáticas **sin compromiso hemodinámico** la derivación es **preferente** para valorar la implantación de un marcapasos cardíaco permanente. [Guía: Guía de Actuación 3, Página: 74] **Fuentes consultadas:** - [Guía: Guía Terapéutica, Página: 180] - [Guía: Guía de Actuación 3, Página: 74]";"incorrect";"complete";"yes";"Mejorable la redacción de la contestación. En lugar de: ""En una sospecha de síndrome coronario agudo con bradicardia sintomática (< 50 lpm), la medicación recomendada es atropina 0,5-1 mg, repitiendo si persisten los síntomas cada 3-5 minutos hasta un máximo de 3 mg en bolo lento intravenoso. "" Sería mejor: ""En una sospecha de síndrome coronario agudo con bradicardia sintomática (< 50 lpm), la medicación recomendada es atropina 0,5-1 mg en bolo lento intravenoso, repitiendo si persisten los síntomas cada 3-5 minutos hasta un máximo de 3 mg. "" También podría ampliarse la información (está en el mismo algoritmo) pues hay otros fármacos que se indican en caso de no respuesta a la atropina que serían además del MP transvenoso, la infusión de dopamina o la infusión de adrenalina. | La pregunta está mal planteada porque pretende abordar el manejo de la bradicardia pero aquí indica que se trata de un paciente con síndrome coronario agudo: siempre lo derivaremos a un centro de urgencias por tratarse de un síndrome coronario agudo. Por lo tanto la respuesta es incorrecta.";"En una sospecha de síndrome coronario agudo con **bradicardia sintomática (< 50 lpm)**, la medicación recomendada es **atropina**: dosis adulto **0,5-1 mg**, y repetir si persisten los síntomas cada **3-5 min** hasta un máximo de **3 mg en bolo lento iv**. [1]

Si hay **falta de respuesta a atropina** y además **sobredosificación de betabloqueantes**, la circunstancia modificante contempla **adrenalina** (sin posibilidad de marcapasos) o **glucagón** (sin posibilidad de marcapasos). [2]

La **derivación a atención especializada** se indica cuando el paciente presenta **bradicardias sintomáticas sin compromiso hemodinámico para valorar la implantación de marcapasos cardíaco permanente**; y de forma **urgente** si son **bradicardias sintomáticas con compromiso hemodinámico**. [3]";"**Guía Terapéutica**- Pág. 128 · PDF 176, **Guía Terapéutica**- Pág. 132 · PDF 180 y **Guía de Actuación 3**- Pág. 74.";"La respuesta a la propia pregunta es totalmente correcta pero el encargado de la valoración previa la ha calificado de incorrecta por motivos externos a la propia guía: La pregunta está mal planteada porque pretende abordar el manejo de la bradicardia pero aquí indica que se trata de un paciente con síndrome coronario agudo: siempre lo derivaremos a un centro de urgencias por tratarse de un síndrome coronario agudo. Por lo tanto la respuesta es incorrecta.";"no";""
"21";"partial";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_S0212656724002701_4759616247ea";"S0212656724002701";"workflow";"high";"¿En qué situaciones la guía considera que no debe responderse un posible cribado solo con la prueba de cribado, sino que hay que garantizar acceso a pruebas de confirmación diagnóstica?";"La guía señala que, cuando una **prueba de cribado resulta positiva**, no debe considerarse suficiente por sí sola y debe garantizarse el acceso a una **prueba de confirmación diagnóstica**. Esto se explicita para el cribado del **cáncer colorrectal**: “si esta es positiva, se realiza una colonoscopia” y, además, “para alcanzar impacto poblacional… es necesario… garantizar la realización de la prueba de confirmación diagnóstica en personas con prueba de cribado positiva”. [Guía: Recomendaciones PAPPS, Página: 22] [Guía: Guía de Actuación 27, Página: 88] También se indica en el cribado de **sífilis** que las pruebas treponémicas y no treponémicas se utilizan para cribado/confirmación y que, ante una sospecha clínica, debe solicitarse un estudio serológico con **una prueba treponémica y otra no treponémica**. [Guía: Guía de Actuación 25, Página: 115] En el cribado de **infecciones en el embarazo**, se especifica que los resultados positivos de las pruebas de cribado para anomalías fetales **requieren confirmación mediante biopsia corial en el primer trimestre o amniocentesis en el segundo**. [Guía: Recomendaciones PAPPS, Página: 8] **Fuentes consultadas:** - [Guía: Recomendaciones PAPPS, Página: 22] - [Guía: Guía de Actuación 27, Página: 88] - [Guía: Guía de Actuación 25, Página: 115] - [Guía: Recomendaciones PAPPS, Página: 8]";"partial";"partial";"yes";"Se omiten circunstancias muy importantes , como en el caso del VIH respecto la necesidad de pedir una prueba de confirmación. Muchas citas no tienen nada que ver con la pregunta | Creo que la pregunta está mal elaborada y la respuesta recoge algunas de las situaciones donde se especifica la necesidad de confirmación. Yo simplificaría la respuesta y añadiría el capítulo 22 de la Guía de Actuación como bibliografía.";"La guía indica que cualquier estrategia y modalidad de cribado requiere garantizar la accesibilidad a las pruebas de confirmación diagnóstica. [1]

Además, en el cribado de cáncer colorrectal, señala que para alcanzar un impacto poblacional sobre la mortalidad con un coste/efectividad adecuado es necesario garantizar la realización de la prueba de confirmación diagnóstica en las personas con prueba de cribado positiva. [2]

En el cribado de diabetes gestacional, tras un test de cribado positivo, está indicada la prueba diagnóstica de sobrecarga oral de glucosa. [3]

En el cribado de infección por VIH, cualquier resultado positivo requiere una prueba de confirmación para descartar un falso positivo. [4]

En el cribado de cáncer de cuello uterino, si la determinación de VPH-AR resulta positiva, se requiere triaje para estratificar el riesgo de HSIL/CIN2+. [5]";"**S0212656724002701**- Pág. 7, **S0212656724002701**- Pág. 22, **Guía de Actuación 15**- Pág. 42, **Guía de Actuación 8**- Pág. 64 y **S0212656724002701**- Pág. 18.";"En la respuesta se indica que cuando una de estas prebas resulta no positiva no basta con ello y luego pone algunos ejemplos que consiera importantes, no me parece una mala respuesta pues si quieres saber sobre una enfermedad concreta le puedes preguntar exclusivamente sobre esa enermedad.";"no";""
"22";"partial";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_S0212656724002737_c194005b6c41";"S0212656724002737";"treatment";"medium";"Tengo hipertensión y quiero quedarme embarazada. ¿Qué medicamentos están contraindicados y cuáles son los de elección para controlar la tensión?";"Durante el embarazo o si hay deseo gestacional, está contraindicado el uso de IECA y ARA II; también se indica que la espironolactona está contraindicada. [Guía: Guía Terapéutica, Página: 197] Los fármacos de elección para la hipertensión en embarazadas son labetalol y metildopa; como alternativa se menciona nifedipino. [Guía: Guía de Actuación 8, Página: 69] En otra tabla de hipertensión en embarazo, se señala también que los fármacos de elección son labetalol, metildopa (primer y segundo trimestre) y betabloqueantes (tercer trimestre), y que están contraindicados IECA, ARA II y antagonistas del calcio. [Guía: Guía de Actuación 14, Página: 10] **Fuentes consultadas:** - [Guía: Guía Terapéutica, Página: 197] - [Guía: Guía de Actuación 8, Página: 69] - [Guía: Guía de Actuación 14, Página: 10]";"partial";"incomplete";"yes";"falta el atenolol como contraindicado, falta que hay que cambiar los que toma por los convenientes.El párrafo además resulta confuso, deslavazado e impreciso. | Incluye la información de dos fuentes, lo que es interesante aunque la coincidencia no sea completa. Falta una tercera fuente. La guia terapéutica recoge que el atenolol puede asociarse a retraso de crecimiento intrauterino en 2º y 3º trimestre. En este caso, hay información no coincidente en la Guia de Actuación, es dos puntos diferentes. No es un error de la IA.";"Respuesta clara y estructurada:

En mujeres con deseo gestacional o durante el embarazo, están contraindicados los IECA y los ARA II; además, el contexto también indica precaución con las tiazidas. [1]

Los fármacos de elección para el control de la tensión en el embarazo son labetalol, metildopa y nifedipino de liberación prolongada. [2]

En la guía de actuación sobre embarazo, para la hipertensión arterial se señala que labetalol y metildopa son los tratamientos de elección, y como tratamiento alternativo se menciona nifedipino. [3]";"**Guía de Actuación 8**- Pág. 69, **S0212656724002737**- Pág. 3 y **Guía Terapéutica**- Pág. 149 · PDF 197.";"No he encontrado en las referencias dadas que el atenolol estñe contrandicado cuando en efecto lo está, por tanto entiendeo que no lo mencione. Por otro lado, si que menciona los que SI que están indicados. Es más, en **Guía Terapéutica**- Pág. 149 · PDF 197, se dice ""Durante el embarazo o si hay deseo gestacional, está contraindicado el uso de IECA, ARA II y hay que tener precaución con las tiazidas."" información que captó correctamente y justo encima hablan sobre los beta bloqeunates, grupo al qeu peretenece el atenolol, y no dicen ndad de que no se deba utilizar. Y dentro del apartado sobre el embarazo no se menciona tampoco,";"no";""
"23";"partial";"semfyc_eval_2026_v4_01";"semfyc_eval_2026_v4_01_11_1d061e625ad4";"Guía de Actuación 11";"referral";"medium";"Si un paciente con cervicalgia tiene antecedente de traumatismo y la radiografía cervical muestra fractura, luxación o subluxación, ¿cuál es la conducta a seguir?";"La conducta a seguir es la **derivación urgente a traumatología**. [Guía: Guía de Actuación 11, Página: 6] **Fuentes consultadas:** - [Guía: Guía de Actuación 11, Página: 6]";"partial";"partial";"yes";"el esquema referenciado es correcto. El texto puede que fuera necesario ""Los collarines rígidos se han utilizado tradicionalmente en fracturas cervicales, aunque no hay evidencia de calidad que respalde (o desaconseje) su uso."" | Aunque la respuesta se corresponde con lo que dice el algoritmo, es una situación que creo irreal, además seróa una situación de gravedad.";"La conducta a seguir es la **derivación urgente a traumatología**. En el algoritmo de cervicalgia, si hay **traumatismo** y la **Rx raquis cervical** muestra **fractura, luxación o subluxación**, el siguiente paso indicado es esa derivación urgente.";"**Guía de Actuación 11**- Pág. 6.";"La respesta es correcta y la referencia es justo el esquema sobree einformación de ese tipo de casos. No me parece que la respuesta sea incorrecta.";"no";""
